net_store,city,address,name,regular_price,prom_price,discount,link_to_image
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сладко-сливочное Брест-Литовск 82.5% 180г,"214,99","164,99",23,https://img-dostavka.magnit.ru/resize/416x416/uf/206/206dd08ccb504a72a8d21f2e18cda8df/38e05c0dd15b4922931b73d1798cf779.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Сливки Вкуснотеево для взбивания ультрапастеризованные 33% 250г,"159,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/837/837e349127671e7b07ca6e8febc6c981/b44b1cf60e4059636f1cf5163d0ee4f7.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сливочное Северное Молоко Крестьянское из Вологды 72.5% 180г,"179,99","159,99",11,https://img-dostavka.magnit.ru/resize/416x416/uf/d3a/d3af3d0272eed7199f3288cf687c951c/4d37fead72d1cccf29e1103bc940754f.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молочный коктейль Чудо Шоколад 2% 950г,"159,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/d2c/d2c63589ba5d86ea14c43b47d4180752/54d0ce35a83da87787f92a01f5f6b818.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молочный коктейль Чудо Клубника 2% 950мл,"159,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/9d5/9d5f8913f15819f3264cfa919b415c1d/2c73a339f042adc6f4f98cf731c2b0ba.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Сливки Простоквашино ультрапастеризованные 10% 500г,"153,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/f64/f64835e317504c8d6d9815f6e3477292/1ad758cb868b517991cd387a22e9df86.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Майонез Я люблю готовить Московский провансаль 67% 700мл,"174,99","149,99",14,https://img-dostavka.magnit.ru/resize/416x416/uf/785/785de78d02a3b2bbeb2e63ee24506035/38c4a6a52630d995ca3669e4f26b53a6.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Сливки Магнит стерилизованные 20% 500мл,"149,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/959/959ca3bf9e5f0c5e4582a7abfdd63e8e/e9e12b51251bdde42806d2f3745e1372.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Творожный сырок А.Ростагрокомплекс в молочном шоколаде с ванилью 15% 25г*6шт,"149,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/aed/aedd1a0ae4885ffb7ac9a377e9308bc0/b8b79f1cd260f6297113e5ea89f3c3e6.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молочный коктейль Чудо Клубника 2% 960г,"149,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/d45/d45aea2957bc3dc4d74a33668fc08921/e77bfa6ccbb49fc6bb27553750468fe9.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молочный коктейль Чудо Шоколад 2% 960г,"149,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/536/5366bf131dcc14412a022e56fd02105c/0cc72f72da705a5343be3166f0fbf02e.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сливочное Брест-Литовск 72.5% 180г,"199,99","149,99",25,https://img-dostavka.magnit.ru/resize/416x416/uf/bfa/bfa8198978c6ed017f05743c44359a6a/35c58438f562aff60183b5f00beed3eb.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Яйцо Волжское утро куриное С0 10шт,"149,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/6bb/6bbaa6dabe9f37649124f7ce32ded717/d74013f62f978942595f45600806e011.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сладко-сливочное Экомилк Крестьянское 72.5% 180г,"179,99","143,99",20,https://img-dostavka.magnit.ru/resize/416x416/uf/842/8428adaf6e56636c292f09eec223e6d7/61160701e4ee962332462ec83383f03c.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Сливки Домик в Деревне 10% ультрапастеризованные 480г,"139,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/2fa/2fa2206c48ee86d999a0b23328ac711c/b1df2b8a74b166f1f90d5b13940aeb97.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Биойогурт питьевой Актибио злаки 1.6% 870г,"139,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/526/526e795d80d45cac60830359fa170128/93846d99e7c0903e18d4dadf3b17fe60.png
